task,model_family,model_size,parse_success_rate,sensitivity,specificity,accuracy,f1_score
therapy_engagement,mental_health,ecdev_-_gemma-2b-instruct-ft-mental-health-counseling-conversations,1.0,0.0,1.0,0.6666666666666666,0.0
therapy_request,mental_health,ecdev_-_gemma-2b-instruct-ft-mental-health-counseling-conversations,0.7794871794871795,0.0076923076923076,0.775,0.5192307692307693,0.0105540897097625
suicidal_ideation,mental_health,gemma-2-2b-it-therapist,0.9777777777777776,0.6222222222222222,0.9377777777777778,0.78,0.7387862796833773
therapy_engagement,mental_health,gemma-2-2b-it-therapist,0.9928571428571428,0.95,0.2392857142857143,0.4761904761904761,0.5473251028806584
therapy_request,mental_health,gemma-2-2b-it-therapist,0.9076923076923076,0.7115384615384616,0.8326923076923077,0.7923076923076923,0.6954887218045113
suicidal_ideation,mental_health,gemma-2b-unsloth-mental-health-merged,0.5644444444444444,0.6488888888888888,0.0,0.3244444444444444,0.4899328859060403
therapy_engagement,mental_health,gemma-2b-unsloth-mental-health-merged,0.9976190476190476,0.0428571428571428,0.925,0.6309523809523809,0.0718562874251497
suicidal_ideation,mental_health,gemma-mental-health-i1,0.7755555555555556,0.04,0.8711111111111111,0.4555555555555555,0.0684410646387832
therapy_engagement,mental_health,gemma-mental-health-i1,0.9047619047619048,0.2285714285714285,0.1964285714285714,0.2071428571428571,0.1612090680100756
therapy_request,mental_health,gemma-mental-health-i1,0.5717948717948718,0.0923076923076923,0.5307692307692308,0.3846153846153846,0.0909090909090909
therapy_engagement,mental_health,guelgamesh01_-_gemma-2b-it-finetuned-mental-health-qa,1.0,0.1571428571428571,0.9571428571428572,0.6904761904761905,0.2528735632183908
therapy_request,mental_health,guelgamesh01_-_gemma-2b-it-finetuned-mental-health-qa,0.5794871794871795,0.0384615384615384,0.4980769230769231,0.3448717948717948,0.0376647834274952
suicidal_ideation,qwen,0.6b,0.9888888888888888,0.3377777777777778,0.9777777777777776,0.6577777777777778,0.4967320261437908
